worda	wordB	rating
baloncesto	béisbol	1.5
símbolo	firmar	1
Rey	princesa	1.8
Pareja	par	4.6
fotófono	homófono	0.8
objetivo	flecha	1.2
sacerdote	monje	3.3
estudiante	alumno	5.5
bebé	hija	2.9
manzana	salsa	0.6
Príncipe	Rey	2.2
presencia	puerta	0.6
cama	sofá	2.1
géiser	primavera	0.6
dígito	número	4.9
hashtag	tema	2.5
confianza	yo	1.2
médico	ortodoncista	2.1
cárcel	elección	0.3
coche	ascensor	0.3
cámara	presidente	0.9
infección	inflexión	0.2
planta de semilla	hoja	1.5
condensador	diodo	2.1
raqueta	pelota	1.3
papel	cartulina	3.5
demonio	ángel	1
cama	silla	1.4
oro	zinc	1.3
moisés	cuna	2.1
subrutina	compilador	0.8
papá	madre	2.4
banda	desfile	2
enfermedad	infección	3.2
cuerpo	estómago	1.7
gato	mascota	3.3
buque	vena	0
madre	guardián	1.7
vexilología	bandera	1.3
sentido	intuición	3.5
átomo	carbón	1.3
ópera	cine	1.4
himno	cañita	0.1
lógica	aritmética	2.1
matriz	vector	1.9
manzana	sol	0.5
magistrado	juez	3.2
uña	pulgar	1.7
dólar	millonario	1.1
asignación	tarea	4.9
escultura	estatua	5.3
obrero	mecánico	2.4
idea	esquema	3
proteína	asa	0.3
aviónica	aeronáutica	3
metro	yarda	2.2
ropa	tela	2.4
arzobispo	obispo	3
cañón	Valle	2.1
flor	arbusto	2.1
xenofobia	racismo	4.6
cama	cuna	3
pistola	cuchillo	1.7
tormenta	huracán	3.1
tarjeta madre	placa base	2.1
patología	hematología	1.6
cielo	universo	1.2
hombre	marido	1.8
póster	papel	1.9
artículo	diario	1.7
altitud	conversión	0.7
multimillonario	indigente	0.2
arroz	frijol	1.1
silla	banco	3.5
esfuerzo	dificultad	2.7
boca	diente	1.5
sufijo	afijo	2
pájaro	pavo	2.6
calendario	vacaciones	1.2
prejuicio	chauvinista	1.5
bicicleta	habitación	0.3
felicidad	paz	2.6
sofá	silla	2.6
ropa	armario	1.6
padre	Dios	1.8
contaminación	atmósfera	1.3
vitamina	plancha	0.5
habitación	célula	0.1
colegio	derecho	0.8
emperador	gobernador	2.4
cena	desayuno	1.4
acústica	sonido	3.8
princesa	galleta	0
química	teoría	1
comunicación	televisión	1.6
nieve	hielo	3.1
libro	materia	1.7
piedra	madera	0.9
comida	cena	3.6
ducado	principado	2.5
cerámico	cerámica	4.8
molino	semilla	1.5
alfabeto	bolígrafo	0.8
conductor	piloto	5.1
noche	capítulo	0.7
clima	ola	0.6
dinero	perla	1
baño	habitación	1.2
hueso	tobillo	1.1
planeta	estrella	2.5
estilo	moda	3.8
calle	callejón	3.6
atención	conciencia	1.5
lengua	garganta	1.1
dinosaurio	elefante	0.9
accidente	emergencia	3.1
viaje	conquista	0.8
tarea	trabajo	4.5
hombre	padre	2
mujer	hombre	1.5
cama	habitación	1.3
playa	arrecife	1.6
playa	costa	3.5
tenis	estadística	0.5
órgano	hígado	2.3
riqueza	fama	1.7
valor	tarifa	2.7
ropa interior	cuerpo	0.6
abogado	licenciado en derecho	4.7
acetilcolina	iris	0.3
lago	pantano	2.8
lámpara	genio	1
servidor	esclavo	2.8
armada	ejército	4.5
fondo	lado	1
caja	sombrero	0.3
molécula	átomo	2.5
mano	pulgar	1.4
profesor	rabino	0.6
lago	nube	0.3
chico	niño	4.4
computadora	máquina	3.8
agujero	esposa	0
colegio	grado	1.5
volar	hormiga	0.5
ropa	capa	1.4
sangre	médula	1.3
agonía	dolor	3.6
teorema	teoría	3.9
manzana	caramelo	0.5
madera	papel	1
conversación	discusión	2.7
pollo	filete	2.3
fraternidad	puerta	0.4
habitación	cama	1.3
unión	suma	3.4
alcohol	cóctel	2.4
cuota	salario	2
hermana	hermano	3.5
tifón	ciclón	4.6
escritor	regalo	0.1
montaña	repisa	0.4
botella	envase	2
cuenco	cola	0.2
barco de cañón	costa	0.7
falda	reloj	0.3
agua	sal	0.4
población	gente	3.7
palabra	página	0.5
Nota	trabajo	0.7
líder	gerente	3.2
suéter	chaqueta	2.6
nariz	cabeza	0.9
juego	acción	1.4
cable	cuerda	2.5
reunión creativa	telescopio	0
combinación	Unión	4.2
actriz	actor	4.1
rabino	ministro	1.2
compañero	acompañante	4.3
creador	fabricante	3.7
cama	manta	1.1
rama	brazo	1.3
insignias	dignidad	0.4
avión	chorro	0
hombre	Víctor	0.7
piña	teléfono inteligente	0
plato	cuenco	2.4
hierba	musgo	2.1
república	duque	0.2
Leche	jugo	0.7
profesor	monitor	2.1
nepotismo	Rey	1.7
pájaro	halcón	2.3
Valle	depresión	3
máquina	motor	2.8
gente	centavo	0.1
obrero	oficina	0.2
criptograma	símbolo	2.6
apartamento	mueble	0.5
caja	cigarro	0.7
Desierto	duna	2.5
limón	té	0.5
roble	arce	1.2
flauta	música	1.7
dinero	efectivo	4.5
frente	ojo	0.5
ahorro	ahorrador	2.8
cadera	labio	0.5
magma	volcán	2
tubo	cigarro	0.3
antropología	arqueología	1.1
colina	acantilado	1.6
juego	divertido	1.1
profundidad	magnitud	1.1
hermano	alma	0.3
parcialidad	opinión	2.1
ritmo	melodía	3.2
fórmula	tronco	0.2
obispo	musulmán	0.4
ropa	chaqueta	1.5
nariz	boca	0.9
ovillo	hilo	2.1
autopista	carretera	4.2
pesticida	parásito	0.5
vaso	tarro	2.4
calle	coche	0.3
capitán	marinero	1.5
teoría	hipótesis	3.6
ortodoncista	dentista	3.9
cargador	disco	0.4
mejilla	lengua	0.4
soldado	paz	0.3
película	teatro	0.9
cáncer	enfermedad	2.9
club	sociedad	2.9
actitud	confianza	1.9
bicicleta	piel	0.4
delito	ataque	1.7
cola	posterior	2.5
sargento	pistola	0.6
agujero	acuerdo	0
niño	chico	4.2
cabeza	uña	0.5
libro	artículo	1
libro	texto	2.5
Biblia	himno	0.5
esposa	cañita	0.3
raqueta	ruido	0.3
semestre	término	1.2
tarea	cañita	0.1
hierba	espada	0.1
cama	mueble	1.5
guitarra	tambor	0.8
aeropuerto	pieza	0
flor	bulbo	1.5
gráfico	grafico	5.5
circuncisión	prepucio	2
petróleo	visón	0.1
adulto	bebé	0.6
juez	Corte	0.9
crimen	violación	3.2
whisky	champán	1.1
manual	guía	4.6
accidente	libro	0.2
estaño	metal	1.8
modo	moda	0.3
apocalipsis	fuego	0.9
teclado	ligero	0.5
hermano	hijo	0.9
obrero	empleador	1
precalentamiento	recalentamiento	1.6
capítulo	cola	0.1
muerte	catástrofe	1.3
pared	decoración	0.8
atmósfera	ozono	2
espíritu	banda	0.5
será	intención	1.5
realidad	espejismo	0.2
motor	bote	0.4
descomposición	factorización	1.3
campana	puerta	0.3
máscara	partido	0.3
playa	isla	1.9
palacio	escultor	0.7
aplicación	galaxia	0.2
muerte	tragedia	2.4
electricidad	caso	0
libro	Biblia	2
lápiz	historia	0.8
nube	ventana	0.7
sequía	agua	1
moneda	pago	2.1
director	cinematografía	2.1
flor	Violeta	2.1
prima	tío	0.6
renacimiento	tumba	0.3
canción	bailarín	0.5
policía	político	0.4
nivel	Puntuación	3.2
valor	creencia	2
regla	convención	2.3
sacarosa	carbohidrato	1.8
puesta de sol	noche	1.5
juicio	veredicto	3.3
honor	estima	1.9
avión	aeropuerto	1.4
tormenta de nieve	lluvia	0.6
bancarrota	fracaso	2.2
caja	cabina	1.2
tarea	mujer	0.2
prueba	hecho	2.5
entrenador	jugador	0.5
hígado	pulmón	0.5
garganta	nariz	0.5
motel	Posada	3.3
maceta	aparato	0.3
guitarra	violín	0.5
fuerza	podría	0.4
discusión	acuerdo	1.2
Dios	presa	0
trono	espada	0.4
obra de arte	artista	1.6
centavo	tamaño	0.2
menta	museo	0
golpear	marco	0.3
pájaro	gallina	1.8
pistola	cañón	1.3
delta	mar	1.3
supremacía	omnipotencia	2.9
fin de semana	raza	0
Grillo	seguidor	0
sultán	ministerio	0.4
silaba	examen	0.3
delito	fraude	3
empleador	empleado	0.9
vaso	cristal	1.5
coche	manguera	0.3
suelo	techo	0.7
hueso	mandíbula	1.1
citoplasma	dígito	0
brecha	apertura	2.9
teatro	batería	0.2
alcohol	vino	1.7
muerte	entierro	1.5
carboncillo	carbón	2.3
cuerpo	pecho	1.1
competencia	capacidad	2.9
protestante	cristiano	1.2
casa	alfombra	0.3
culpa	sistema	0.2
motor	maquinaria	2
fiscal	abogado	2.5
peligro	amenaza	4.2
palabra	diccionario	1.2
becerro	toro	2.3
bañera	esposa	0.2
tejer	uniforme	0.3
creencia	flor	0.1
gallina	pavo	0.8
raíz	hierba	1.2
inteligencia	visión	1.2
naturaleza	flora	2.4
bombardeo aéreo	ataque	2.8
alcohol	brandy	1.8
mariposa	Rosa	0.3
frijol	café	0.2
fertilizante	crecimiento	0.8
pelota	esfera	2.8
historiador	historiógrafo	2.7
himno	conquista	0.3
alcohol	whisky	1.8
matriz	molécula	0.4
nube	neblina	2.9
murciélago	vampiro	1.9
decisión	elección	4.2
carne de vaca	carne	3.9
amante	compañero	1.6
médico	doctor	5.3
ruta	viaje	3.6
emoción	pasión	3.1
médico	templar	0.3
topología	estructura	1.5
paciente	sesión	0.7
bandera	polo	0.3
ritmo	cadencia	2.4
sufragio	salida	0.1
libro	manuscrito	2.9
ignorancia	inteligencia	0.7
tocino	frijol	0.3
Universidad	clase	1.5
poliéster	algodón	1.4
gripe	fiebre	2.2
brazo	hombro	1
dólar	gente	0.1
riqueza	prestigio	1
vaca	ganado	2.6
caballo	yegua	2.7
salida	puerta	1.6
mutante	sociobiología	0.4
martillo	dientes	0.1
criminal	delincuente	4.5
tradición	artesanía	1.5
padre	adulto	1.1
inteligencia	destreza	2.3
palabra	pista	0.2
ganador	Gol	0.7
religión	materialista	0.2
basílica	mosaico	0.4
truco	tamaño	0
diplomacia	negociación	2.5
chubasco	viento	1.4
clase	pasillo	0.3
área	zona	5.3
callejón	cuenco	0
estaño	aluminio	1.1
extraterrestre	forastero	1.4
beca	matrícula	1.2
agricultura	monocultivo	1.2
flor	resistencia	0.1
dedo	palma	0.7
sabiduría	inteligencia	3.8
tabaco	cigarrillo	3.6
cabaña	cabina	1.5
águila	halcón	2.4
compositor	escritor	2.4
dolencia	infección	2
velocidad	enviar	0.4
copiloto	cabina	0.7
tío	tía	3.2
pie	base	2.2
Universidad	profesión	1
hueso	codo	0.9
palanca de mando	Radar	0.4
brazo	vena	0.5
fondo	parte superior	0.2
centavo	ganga	0.3
armada	isla	0.4
herramienta	trabajo	0.8
cita	compromiso	4
norte	Oeste	0.5
estudiante	profesor	0.6
pecador	Smo	0
pelota	cesta	0.3
estado animico	emoción	3.3
estómago	habitación	0.2
desayuno	tocino	0.3
civilización	estilo de vida	1.1
perro	gato	0.7
creencia	concepto	2.1
pacto	acuerdo	5.3
lluvia	niebla	0.8
novela	escritor	1.3
Teléfono móvil	teléfono	5.1
ejército	equipo	1
diputado	oficial	1.5
árbol	hoja	1.3
voleibol	pelota	1.2
coche	bicicleta	0.6
continuación	cámara	0.2
resistencia	banda	0.1
enfermera	científico	0.4
zona	esquina	0.6
pago	Nota	0.7
jugo	batido	3.4
pared	ladrillo	1.3
nube	niebla	2.3
río	corriente	2.2
carril	cerca	0.8
reflexión	imagen	1.5
whisky	Ginebra	0.8
cuerno	tambor	0.7
teléfono	cabina	1.2
perejil	mollete	0.5
dinero	diamante	0.7
azúcar	miel	1.4
ropa	paño	1.7
estómago	cintura	1.3
coche	calibre	0.4
libertad	atrevimiento	1
atención	interés	3.8
policía	sheriff	3.7
vendaval	manta	0.1
felicidad	suerte	0.7
fuente	caja	0.2
década	siglo	0.7
gato	león	1.2
ejército	legión	3.2
helicóptero	avión	0.9
caballo	potro	2.9
pantalones	mujer	0.3
adversario	oponente	4.8
techo	catedral	0.4
abeja	reina	0.8
ojo	lágrima	1
brazo	muñeca	1
cerca	saltando	0.4
libro	información	1.2
escudo	rodela	1.5
Dios	espíritu	1.5
comunicación	conversacion	3.2
zona	región	3.9
boquilla	fluido	0.4
comunicación	idioma	1.9
corredor	atleta	3.3
camafeo	actuación	0
dolor	vergüenza	0.8
maíz	maizal	3.4
tren	tranvía	2.9
invierno	verano	0.6
vagón	envase	0
soneto	belleza	0.5
amigo	chico	1.8
pistola	amanecer	0
casa	estado	0.2
habitación	edificio	0.8
poder	botella	0
fiebre	enfermedad	2.1
Dios	diablo	0.6
mujer	piel	0.3
avión	hoja	0
cerveza	bebida	1.9
leyenda	moral	0.6
bote	cubierta	1
bote	ancla	1
camión	paquete	0.6
puerta	piso	0.9
behaviorismo	terapia	0.9
ratón	administración	0
ordenador portátil	cuaderno	0.4
monedero	bolso	1.8
marijuana	hierba	4.7
alumno	presidente	0.2
altar	corredor	0.2
manzana	limón	0.5
techo	piso	1
pollo	arroz	0.5
músculo	lengua	2
pago	recompensa	3.6
casa	llave	0.6
baño	cocina	0.6
batalla	conquista	2
novia	princesa	1.1
músculo	hueso	0.5
vientre	abdomen	4.3
noche	amanecer	0.4
lluvia	granizo	1.3
profeta	sacerdote	1.2
puesta de sol	cuerda	0
pasillo	sala	0.7
cama	hospital	0.7
coche	puente	0.2
agricultura	planta	0.8
ecosistema	economía	0.4
pistola	cuaderno	0.1
libro	ensayo	1.5
carne	tocino	1.5
silla	taburete	3.2
noche	oscuridad	2.6
isla	tarea	0.1
nieve	clima	0.9
pared	castillo	0.5
coronación	agua	0
metal	aluminio	1.7
visón	piel	1.9
corona	llave	0.2
puerta	bodega	0.3
segadora	Caña de azúcar	0.4
alboroto	dibujo	0.1
canción	historia	0.4
televisión	actor	0.6
político	presidente	2.3
aritmética	ritmo	0.9
creencia	opinión	2.9
lente	cámara	2.4
pierna	brazo	0.6
agua	hielo	0.8
manguera	jardín	0.5
ajedrez	comprobar	0.2
cereal	trigo	1.9
campamento	cabina	1
ventana	techo	0.4
juicio	prueba	1.7
lazo	cinturón	1.2
espíritu	siglo	0.1
comodidad	seguridad	1.9
argumento	crítica	2.8
álgebra	operación	1.5
mujer	esposa	2.9
padre	hija	0.5
acorazado	buque	3.2
hombre	niño	0.8
mujer	secretario	0.4
cena	comida	3.7
sur	norte	0.5
libro	historia	1
nihilismo	película	0.2
bañera	globo	0.1
opinión	elección	1.1
brazo	cuello	0.5
bar	jaula	0.3
pistola	piel	0.1
multitud	manojo	0.8
nube	clima	0.7
coro	cantante	1.7
enfado	furia	4.2
víctima	teléfono	0
acantilado	cola	0
lino	tela	2.8
moneda	intercambio	1.6
cuerpo	espina	0.6
llovizna	lluvia	4.4
nieve	tormenta	1.1
manzana	jugo	1
célula	cárcel	0.5
asteroide	estrella	2.7
trucha	guitarra	0
vocalista	personal	0.5
banda	orquesta	4.3
mente	cerebro	3.7
episodio	capítulo	5.3
tronco	madera	3.9
espada	ambiente	0.1
idea	imagen	1.6
germen	patógeno	3
aire	helio	1.4
batería	energía	3.2
península	isla	1.2
corrupción	fraude	3.9
puerta	pasillo	0.6
recaudación de fondos	evento	2.6
padre	hermano	0.4
abogado	galería	0.2
tía	sobrino	0.6
abeja	hormiga	0.8
pacto	condición	2.7
molécula	aire	0.9
hombre	guerrero	0.9
avena	campo	0.7
nublado	pronóstico	1.3
Sandwich	almuerzo	1
calibre	paraguas	0.2
sofá	béisbol	0.2
enfado	estado animico	3.1
vaso	cono	1.3
más allá	purgatorio	2.4
Luna	planeta	1.3
puerta	portal	2.4
belleza	años	0.5
coche	cuerno	0
caja	ascensor	0.3
victoria	triunfo	5.5
viscosidad	chapoteo	0.9
camino	manera	1.7
caos	clase	0.2
burbuja	jabonaduras	1.7
bronquitis	acetaminofeno	0.8
crédito	prestatario	2.4
pelota	disfraz	0.2
mantequilla	patata	0.7
neurosis	mente	1.5
taxi	coche	3.1
ácido	base	1
fórmula	ecuación	3.8
insecto	abeja	2.9
caballo	buey	1.4
hombres	fraternidad	1.1
chocolate	tarta	1.4
mundo	globo	3
brazo	hueso	0.9
canela	caramelo	0.8
creencia	impresión	2.4
serpiente	lagartija	1.2
destrucción	construcción	0.3
carne	pan	0.5
diccionario	definición	2.6
ayudante	mucama	2.5
cuota	pago	4.2
playa	mar	3.4
bote	árbol	0.3
rayo	sol	1.3
Cereza	fresa	1.3
poema	ritmo	1
dama	Hidalgo	0.9
patio	pulgada	0.1
actividad	movimiento	3
gente	pistola	0.1
hueso	rodilla	0.9
ventana	puerta	0.9
brazo	cuerpo	1.1
invierno	temporada	2.9
llave	candado	2.4
Rey	regla	0.9
terremoto	temblor	4.4
novio	novia	3.2
cuello	espina	0.5
amigo	compañero	3.8
aleación	acero	1.5
cumpleaños	año	1.5
chico	pareja	1.1
niño	pareja	0.4
anillo	compromiso	2.1
periódico	información	2
gente	partido	0.8
cuerpo	hombro	1
sociedad	negocio	2.2
poliedro	actor	0
nube	tormenta	1.1
barro	suciedad	2.3
palabra	periódico	1.1
condición	niño	0.1
rock	mía	0
pueblo	ciudad	2.9
abundancia	mucho	5
Campaña	mono	0.1
editorial	Noticias	1.7
hombre	tío	2.3
dinero	capital	4.3
realidad	fantasía	0.3
ensalada	vinagre	1.1
niño	soldado	0.4
desayuno	cena	0.7
elección	vena	0
impuesto	ingresos	0.7
bote	coche	0.6
litoral	costa	4.7
medio	Noticias	2.1
derecho	justicia	2.3
comida	cintura	0.5
princesa	isla	0.1
tronco	bañera	0
peligro	enfermedad	0.8
recaudación de fondos	desarrollo	0.8
ratón	gato	0.5
apartamento	hotel	1.1
vestir	danza	0.3
moneda	concurrencia	0.3
hija	niño	0.4
bañera	truco	0
club	marca	0.9
niña	mucama	0.5
frase	palabra	1.6
perro	caballo	0.5
pantalla	monitor	5
gobierno	lagartija	0
fin de semana	semana	2.2
desesperación	miseria	2.4
multiplicación	división	0.5
piano	armonía	0.3
intestino	nervio	0.7
sol	cielo	1
médico	profesor	0.8
filósofo	carreras	0.3
brazo	rodilla	0.5
administración	gestión	3.4
palacio	rascacielos	0.6
tobillo	ventana	0.1
estómago	vena	0.4
página	párrafo	1.7
senado	constitución	1.4
parte superior	lado	1.2
playa	orilla	2.7
coche	carro	4.9
Brújula	elefante	0.1
tanque	coche	0.6
puesta de sol	mesa	0.1
límite	frontera	5.1
madera	manta	0.1
camisa	cárdigan	1.2
menú	orden	1
jefe	alcalde	1.5
actor	cantante	0.8
fuerza	capacidad	2.9
medalla	zapatillas	0.2
libertad	oasis	0.2
puntero	diapositiva	0.5
túnel	camino	2.4
cubo	juguete	1
rata	ratón	4.4
Iglesia	catedral	4.4
cerveza	alcohol	2.5
director	jefe	4.5
código malicioso	gusano	1.3
ausencia	presencia	0.3
pie	cabeza	0.5
matemático	show	0.1
era	década	2.6
música	melodía	4
siglo	año	1.3
codo	tobillo	0.4
carta	párrafo	0.8
cuerpo	nervio	0.5
arena	pie	0.4
anarquía	caos	3.6
balada	canción	3.9
niño	hijo	3.1
policía	copiloto	0.3
puesta de sol	amanecer	0.6
dedo del pie	dedo	4.9
adulto	guardián	1.3
infinito	cero	0.7
coche	fábrica	0.4
cabina	choza	1.3
telescopio	silla	0.2
intrigante	estratega	0.6
coche	camión	1.2
violín	instrumento	2.9
piso	cubierta	0.8
código	símbolo	2.3
palabra principal	sintaxis	0.9
nervio	cerebro	1
situación	condición	4.3
un pan	queso	0.4
jugo	cuchara	0.2
carne	sándwich	0.8
vagón	carro	2.5
cursor	patatas fritas	0
alegría	orgullo	1.2
nube	calina	0.9
madera	tronco	3.8
profesor	estudiante	0.6
animal	persona	0.4
cielo	sueño	0.5
heroína	héroe	3
fecha	calendario	1.5
ofrecimiento	contribución	3.4
manuscrito	artículo	2.2
ciencia	psicología	0.8
sociedad	cultura	1.9
algodón	suéter	0.7
libro	tema	0.9
libertad	censura	0.2
mago	cable	0
vino	espíritu	0.2
campeón	ganador	4.7
guionista	televisión	1.1
libro	literatura	2.3
sabueso	zorro	1.2
hueso	cuello	0.4
presidente	alcalde	2.1
sílaba	lema	0.6
fonología	pantalla	0.1
hombre	sospechar	0.4
dentista	coronel	0.3
ilustración	ampolla	0
bar	cárcel	0.2
menta	goma	0.1
formación	lista	0.5
aviación	vuelo	2.2
campus	Universidad	3.6
uña	mano	1.2
eczema	dermatitis	2.2
opinión	idea	3.9
metro	pulgada	1.4
avalancha	nieve	1.5
agresión	hostilidad	3
dieta	ensalada	1
dolor	daño	2.3
padre	progenitor	4.8
amigo	madre	0.3
decoración	sobre	0.1
traductor	extranjero	0.5
diccionario	enciclopedia	2.5
pan	harina	1.1
sombrero	capa	0.8
tarjeta	puente	0
vehículo	autobús	2.5
multitud	desfile	2.1
abrigo	choza	0
objetivo	búsqueda	1.2
comida	programa	0.1
solicitante	solicitud	1.7
miembro	pierna	3.6
crimen	robo	3.1
negocio	empresa	4.3
neuropsicología	parasicología	1.1
sangre	cuerpo	0.5
fraternidad	béisbol	0.3
esposa	marido	1.5
tsunami	mar	1.8
boca	labio	2.3
dieta	manzana	0.9
mapa	cuadrado	0.4
biotopo	biología	0.9
barra	cortina	0.4
prado	pradera	4.6
polinización	estambre	0.9
campanario	capilla	0.9
historia	tema	0.8
niño	adulto	0.5
guardería	preescolar	3.1
película	filme	5.6
trabajo	administración	1.4
simulación	robótica	0.9
autor	lector	0.8
gusano de seda	oruga	3.1
histeria	Confusión	1.7
sangre	carne	0.6
perspectiva	distancia	2.4
encantador	alegre	2.4
ordinario	mundano	4
opuesto	único	1.2
infeliz	enojado	2.3
sucio	limpiar	0.9
estrecho	Delgado	4.3
imposible	factible	0.2
incorpóreo	espiritual	3.2
pegajoso	sucio	1.6
estúpido	tonto	4.9
tedioso	difícil	2.8
culpable	avergonzado	1.8
ordenado	sucio	0.2
aburrido	mediocre	0.8
enorme	tonto	0
insano	loco	2.4
modesto	flexible	0.3
malo	estupendo	0.1
necesitado	impotente	1
inocente	ingenuo	3.3
0	real	0.1
inmaduro	irresponsable	3.1
largo	estrecho	0.3
veloz	rápido	5.8
astuto	extraño	0.3
creativo	innovador	4.5
orgulloso	arrogante	3.5
asequible	barato	4.6
mediocre	bien	0.2
tonto	raro	0.2
inteligente	tonto	0.2
cruel	injusto	1.9
modesto	puro	0.6
insulso	aburrido	4.2
vulnerable	fácil	1.2
inseguro	asustado	2
raro	único	3.7
ordinario	frío	0.1
maravilloso	genial	4.6
raro	extraño	5.7
nacional	grande	0.3
fácil	duro	0.2
antiguo	nuevo	0.2
crudo	grosero	1.2
cansado	hambriento	1
fácil	difícil	0.2
reciente	nuevo	4.1
legal	ilegal	0.2
maduro	sofisticado	1.5
humilde	modesto	4.2
inmaduro	crecido	0.5
cocido	hervido	4.6
amplio	estrecho	0.2
elástico	flexible	4.2
colérico	vacilante	0.9
confidente	Por supuesto	0.6
feliz	alegre	5.3
negrita	orgulloso	0
difícil	simple	0.2
aburrido	gracioso	0.1
encantador	maravilloso	3.3
formal	apropiado	3
artificial	0	3.4
aburrido	emocionante	0.2
abierto	no revelado	0
modesto	avergonzado	0.8
crédulo	estúpido	2.2
hambriento	sediento	1.2
seguro	tedioso	0.1
sobrio	borracho	0.2
ilegal	inmoral	1.5
malo	horrible	2.5
bien	conocido	0.4
ocupado	perezoso	0.3
crudo	feo	0.5
neutral	indeciso	1.8
antiguo	mezclado	0
triste	terrible	0.5
ágil	rápido	3.8
tímido	asustado	2.3
fácil	grande	0
derecho	curvo	0.3
pegajoso	mojado	0.8
increíble	ordinario	0.2
violento	enojado	1.9
similar	igual	3.7
emocionado	asustado	0.8
violento	pasivo	0.2
cierto	nervioso	0.1
agresivo	curvo	0
legal	permitido	4.3
extraño	impar	1.2
seguro	legal	1.4
radical	violento	2.3
corto	largo	0.2
enfadado	alegre	0.2
valioso	especial	4.4
estrecho	ancho	0.2
preciso	incorrecto	0.1
mezclado	conjunto	2.2
extraño	ordinario	0.2
aburrido	cansado	1.5
flexible	suelto	1.3
tonto	listo	0.2
cierto	seguro	3.4
malo	mediocre	2.7
grande	pesado	0.8
bonito	generoso	0.1
alto	grande	2.7
despreciativo	desdeñoso	3.6
rojo	azul	0.5
astuto	difícil	0.3
violento	suave	0.2
áspero	frígido	0.8
económico	barato	5.1
conocido	nacional	0.4
grosero	crítico	0.9
tonto	inteligente	0.6
flexible	móvil	2.3
pobre	orgulloso	0.2
